
Joints
100
,,DanielDay01:World_Torso,,,,,,DanielDay01:Torso_Pelvis,,,DanielDay01:Pelvis_R.Thigh,,,DanielDay01:R.Thigh_R.Shank,,,DanielDay01:R.Shank_R.Foot,,,DanielDay01:Pelvis_L.Thigh,,,DanielDay01:L.Thigh_L.Shank,,,DanielDay01:L.Shank_L.Foot,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
448,0,35.6425,-7.32457,100.148,126.295,383.971,1621.91,-9.26392,-3.81667,1.92878,-5.43585,41.6278,-7.14882,-3.16372,1.86776,-0.53205,3.17649,-1.30673,0.0429604,11.8904,5.84432,-8.6792,-1.82731,13.2436,-10.8152,2.52864,2.33798,0.102388
449,0,35.5403,-7.5371,100.185,122.809,365.223,1617.76,-9.82844,-4.06213,2.10019,-5.21812,42.6799,-8.24024,-3.4385,2.29198,-0.258397,3.40733,-1.78578,-0.618321,12.6102,7.23955,-8.97182,-1.93569,12.4084,-10.5879,2.56019,2.29433,0.417569
450,0,35.3138,-7.68411,100.166,119.326,346.096,1614.01,-10.4524,-4.46357,2.23803,-5.09498,43.6491,-9.27918,-3.57512,2.52579,0.0304846,3.63949,-2.29918,-1.15094,13.4013,8.89538,-9.34535,-2.00292,11.2478,-10.0456,2.66554,2.19146,0.491926
451,0,35.0877,-7.80111,100.12,115.641,326.93,1609.96,-11.182,-4.84689,2.37256,-4.99729,44.6572,-10.3952,-3.57589,2.3787,0.350647,3.74791,-2.83915,-1.40489,14.152,10.6314,-10.0121,-2.07642,10.177,-9.36586,2.66061,2.06156,0.687911
452,0,34.848,-7.89625,99.9662,111.869,307.416,1605.56,-12.0049,-5.18911,2.50495,-4.90735,45.6185,-11.5154,-3.50682,1.83912,0.566996,3.72774,-3.44514,-1.48715,14.8752,12.4494,-10.6285,-2.04523,9.08612,-8.62238,2.73304,1.89818,0.764253
453,0,34.5614,-7.97714,99.7801,107.909,287.773,1601,-12.8172,-5.52078,2.63804,-4.85046,46.5256,-12.6256,-3.30742,0.830189,0.931089,3.55685,-4.1354,-1.35185,15.494,14.3224,-11.2239,-1.91199,8.10655,-7.78573,2.72975,1.6109,0.906525
454,0,34.249,-8.02371,99.5106,103.817,267.885,1596.19,-13.6971,-5.83854,2.76293,-4.91375,47.3744,-13.778,-2.88981,-0.52015,1.41078,3.38583,-4.8628,-1.02431,16.0915,16.1874,-11.8942,-1.78222,7.30537,-6.66127,2.79192,1.25803,1.2303
455,0,33.8953,-8.01705,99.1946,99.6256,247.991,1591.18,-14.6001,-6.15507,2.86554,-5.04868,48.1367,-14.941,-2.29876,-2.29747,2.32283,3.10088,-5.59542,-0.453575,16.6673,17.9607,-12.5264,-1.66342,6.77366,-5.50181,2.8086,0.822888,1.43142
456,0,33.4854,-7.96431,98.8469,95.2782,228.084,1586.01,-15.5187,-6.49221,2.92322,-5.25489,48.8005,-16.1537,-1.63485,-4.34657,3.35302,2.86702,-6.28927,0.198034,17.2429,19.4827,-12.9745,-1.58041,6.60235,-4.42901,2.82395,0.348354,1.56462
457,0,33.025,-7.86786,98.4566,90.8261,208.048,1580.82,-16.4709,-6.87857,3.07617,-5.57956,49.0703,-17.17,-1.02591,-6.44428,4.14148,2.63048,-6.66881,0.76589,18.1735,20.6604,-12.996,-1.69331,6.77611,-3.7328,2.86684,-0.21182,1.64661
