GRF Observations - Ctrl,GRF Observations - Post
82.74869,80.64203
80.64194,80.81425
80.81409,78.38196
78.38187,78.5862
78.58602,76.82477
76.82469,78.29573
78.29555,77.35199
77.35198,79.8952
79.89506,78.98376
30.26707,82.96312
112.5571,95.27478
227.4597,118.8401
118.8397,117.1383
117.1385,118.3706
118.3701,117.1308
117.1307,117.0247
117.0244,115.6749
115.6748,113.3037
113.3038,110.2485
263.4849,129.6792
110.2485,98.1049
95.18572,73.03482
277.1652,96.65288
96.65067,158.4456
43.87596,128.1738
0,57.858
57.85817,58.18731
58.18766,82.01889
242.5349,94.2688
251.9055,119.4308
119.43,105.8314
22.64903,106.1917
106.1912,105.703
105.705,103.5593
103.5633,100.909
21.64623,98.74785
98.74992,96.12011
96.12083,95.07903
2253.079,91.99837
91.99727,93.31039
93.30917,90.35096
90.349,91.37215
91.37126,88.30397
88.30272,87.80177
87.8013,84.48923
84.48794,82.37061
1271.487,79.69675
79.69539,76.22758
76.22665,74.34949
74.34864,69.87833
69.87798,69.0649
69.0648,64.10533
64.10546,64.42028
64.42036,59.37092
59.37061,60.71807
60.71751,56.00028
55.99887,58.0078
58.00642,53.92864
53.92677,56.26302
56.26169,51.59659
1941.587,44.04348
44.04207,66.73255
1697.23,77.89856
78.1678,125.5786
2460.702,163.2213
181.757,142.8438
93.00407,138.7081
137.8931,97.36551
52.6598,131.528
1213.758,165.9095
109.6584,169.4194
169.4189,146.3533
146.3531,131.3811
131.3805,113.7881
113.7881,110.0563
110.0561,100.7402
100.7402,96.87191
96.87205,95.61854
2121.15,94.11329
94.11369,99.87162
150.3386,123.5185
123.5193,134.0783
134.0796,133.0216
133.0228,142.1887
142.1908,140.115
140.1167,146.3409
146.3439,143.5081
143.5104,148.0376
148.0418,144.4718
144.4753,148.815
148.8211,145.1092
145.1146,148.7334
148.7403,144.4216
144.4276,145.8567
145.8625,140.5228
139.6368,185.6686
185.6742,178.6774
178.6823,176.9735
176.9764,172.4472
172.4494,172.2848
172.2837,170.1975
170.1964,171.5014
0,170.7435
170.7391,173.6255
173.6178,173.3193
173.3152,177.0134
2898.076,176.7033
176.701,180.8659
180.8631,180.3831
180.3819,184.7852
184.784,184.1419
184.1415,188.2348
139.443,280.8607
280.8607,285.5425
0,283.5256
283.5256,285.1664
285.1664,281.9808
281.9808,277.9946
277.9946,272.7283
272.7283,260.3992
260.3992,252.8478
252.8478,229.7212
