rfootrx,rfootrz,rtibiarx,Left GRF,Right GRF,OSL_phase
-0.3199532,-0.05080372,0.5362832,27.15344,83.48337,0
-0.3345661,-0.05092719,0.5422332,37.72449,87.97625,0
-0.3474236,-0.05043104,0.5460258,19.51307,84.32016,0
-0.3609781,-0.0494094,0.550437,16.11035,89.92052,0
-0.3728461,-0.04776024,0.5523961,7.356017,84.09843,0
-0.3852447,-0.04579961,0.5551142,14.20289,91.33665,0
-0.3959509,-0.04324988,0.555342,6.786132,86.1476,1
-0.4071186,-0.04045122,0.5565172,6.825036,93.81043,1
-0.417356,-0.03698213,0.5551429,2.75244,86.67937,1
-0.4276041,-0.03331382,0.554836,2.479448,94.33614,1
-0.4368466,-0.02888567,0.5519873,0.5594274,86.91881,1
-0.4460646,-0.02428677,0.5503961,0.4835917,94.40559,1
-0.4544777,-0.01892019,0.5462492,0.042772,86.77625,1
-0.4627338,-0.01348337,0.54344,0.1966158,94.09267,1
-0.4703097,-0.007381095,0.5381235,0.1290731,86.57809,1
-0.4776271,-0.001336473,0.5341773,0.6598303,93.39678,1
-0.4843734,0.005253656,0.5278147,0.7840781,86.17587,1
-0.4908159,0.01168273,0.5228171,1.380701,92.19994,1
-0.4967734,0.01857341,0.5155454,1.044253,85.42613,1
-0.5029491,0.02525743,0.5096474,0.6058145,105.6293,1
-0.5080091,0.03234728,0.5015585,0.01051361,99.5471,1
-0.5129858,0.03916541,0.4947837,0,103.6893,1
-0.5174295,0.04643045,0.4859276,0,97.06715,1
-0.5214297,0.05337809,0.4783529,0,99.9285,1
-0.5254001,0.06075671,0.4690919,0,94.50761,1
-0.5289138,0.0678592,0.4607543,0,94.86705,1
-0.5325332,0.07528067,0.4511413,0,90.5647,1
-0.5354952,0.08244028,0.4422426,0,89.09777,1
-0.5388657,0.08978529,0.4325691,0,86.34682,1
-0.5415565,0.09683269,0.4234766,0,84.3034,1
-0.5449278,0.1038962,0.41402,0,82.83109,1
-0.5475194,0.1105617,0.4050349,0,82.10365,1
-0.5511038,0.1171063,0.3959753,0,81.37154,1
-0.553798,0.1231251,0.3872264,0,83.05909,1
-0.5576583,0.1289505,0.3785233,0,82.39889,1
-0.5605413,0.1341493,0.3699588,0,86.43414,1
-0.5645639,0.1391563,0.3614568,0,85.3676,1
-0.5675395,0.1434926,0.352989,0,90.81191,1
-0.5714508,0.1476684,0.3445951,0,89.18319,1
-0.5742124,0.1510545,0.3362879,0,95.35297,1
-0.577613,0.1541828,0.3281422,0,93.09338,1
-0.5797883,0.1564705,0.3201937,0,98.47659,1
-0.5823515,0.1585199,0.3124852,0,96.01772,1
-0.5826909,0.1597246,0.3048818,0,126.917,1
-0.5845343,0.1610046,0.2979241,0,118.7476,1
-0.5840808,0.1616485,0.2915556,0,122.7169,1
-0.5835956,0.1624208,0.2858738,0,120.528,1
-0.5817524,0.162826,0.2814993,0,122.7267,1
-0.5784672,0.1633991,0.2777041,0,106.5946,1
-0.5742462,0.1637809,0.2755274,0,127.4974,1
-0.5706721,0.1646007,0.2745102,0,115.8469,1
-0.5653776,0.1650464,0.2751718,0,112.7104,1
-0.561117,0.1657256,0.2768324,0,107.1661,1
-0.5564286,0.1661114,0.2799572,0,103.7083,1
-0.552148,0.1664113,0.2837057,0,99.47447,1
-0.5465366,0.1662382,0.2885951,0,99.53333,1
-0.5413761,0.1657989,0.2942232,0,97.18528,1
-0.5343102,0.1647818,0.3001421,0,129.2549,1
-0.5287716,0.1636124,0.307032,0,119.0907,1
-0.5213278,0.1619415,0.3138406,0,120.5088,1
-0.5142483,0.1601425,0.3212437,0,118.7995,1
-0.5061733,0.1579884,0.3287835,0,119.7587,1
-0.4979035,0.1558013,0.3369249,0,118.3245,1
-0.488544,0.1532676,0.3456959,0,117.9806,1
-0.4779779,0.1506932,0.3551762,0.1703977,124.5141,1
-0.4675301,0.1477121,0.3652024,12.16254,163.9058,1
-0.4572252,0.1452507,0.3764507,73.19593,153.0227,1
-0.4452309,0.1418126,0.3894801,335.5169,144.276,1
-0.4307604,0.1378383,0.4044085,393.3553,141.1052,1
-0.4138797,0.1327556,0.4218292,212.9333,120.8279,1
-0.3928432,0.1291304,0.4397881,196.4751,112.9556,1
-0.3720354,0.1246151,0.4586547,93.42975,103.369,1
-0.3488722,0.121525,0.4773866,106.2694,96.75301,1
-0.3259237,0.1173834,0.4972222,98.32865,69.08578,2
-0.2997952,0.1141837,0.5165274,80.37904,59.21262,2
-0.2745156,0.1098114,0.5379432,72.00919,38.85509,2
-0.2478437,0.1056048,0.5598175,71.37302,29.5251,2
-0.2269207,0.1004886,0.5838427,74.29771,24.66982,2
-0.20693,0.09561194,0.6075557,71.94427,14.82684,2
-0.2005451,0.08997875,0.6326357,71.43604,14.12812,2
-0.1906929,0.08505349,0.6565251,70.07039,2.715485,2
-0.1952292,0.07985131,0.6812618,73.10427,1.447237,2
-0.1922175,0.07435692,0.7061597,72.92704,0.005961533,2
-0.2040092,0.06959242,0.7323262,76.94579,0,2
-0.2068038,0.0641252,0.7587427,76.26585,0,2
-0.2238647,0.06016715,0.7860654,81.55848,0,2
-0.2313994,0.05528031,0.8133266,80.95879,0,2
-0.2519656,0.05231157,0.8405882,86.63936,0,2
-0.2629856,0.04824192,0.8674675,86.04945,0,2
-0.2853459,0.04619634,0.8933537,90.64076,0,2
-0.2985995,0.04294461,0.9185611,89.67904,0,2
-0.3213555,0.04162617,0.9418993,92.6084,0,2
-0.3357869,0.03887542,0.9640803,91.52473,0,2
-0.3579144,0.03814242,0.9834076,92.76742,0,2
-0.3726804,0.03624118,1.001259,91.53983,0,2
-0.3935471,0.03620293,1.015867,91.18121,0,2
-0.4081011,0.03506266,1.029102,90.04269,0,2
-0.427377,0.03564756,1.039088,88.6353,0,2
-0.4413973,0.03512109,1.047956,87.68349,0,2
